`artistID`|`artistName`|`artistNo`|`trackID`
`1Xyo4u8uXC1ZmMpatF05PJ`|`The Weeknd`|0|`2IY7eOUDjw2ArKYxKa2jXc`
`4tZwfgrHOc3mvqYlEYSvVi`|`Daft Punk`|1|`2IY7eOUDjw2ArKYxKa2jXc`
`1Xyo4u8uXC1ZmMpatF05PJ`|`The Weeknd`|0|`0VeYT2aD9t65JgofFZGpKl`
`4tZwfgrHOc3mvqYlEYSvVi`|`Daft Punk`|1|`0VeYT2aD9t65JgofFZGpKl`
`69GGBxA162lTqCwzJG5jLp`|`The Chainsmokers`|0|`7BKLCZ1jbUBVqRi2FVlTVw`
`26VFTg2z8YR0cCuwLzESi2`|`Halsey`|1|`7BKLCZ1jbUBVqRi2FVlTVw`
`69GGBxA162lTqCwzJG5jLp`|`The Chainsmokers`|0|`2rizacJSyD9S1IQUxUxnsK`
`4N874uPqBka1QiCvnCVOtr`|`Phoebe Ryan`|1|`2rizacJSyD9S1IQUxUxnsK`
`0bdfiayQAKewqEvaU6rXCv`|`MØ`|0|`2Kp3IIDOY0LgATlHaXoO4O`
`0uRdK8gy7fXJGRywrlmPM7`|`GoldFish`|0|`6CFrKYk3a0A8qa9knsRhaS`
`4mXcRr0lognLc6xSb1vUTX`|`Diamond Thug`|1|`6CFrKYk3a0A8qa9knsRhaS`
`0Cd6nHYwecCNM1sVEXKlYr`|`Krewella`|0|`3NRrvr3ctGwpV1wLRjgSSs`
`5ZsFI1h6hIdQRw2ti0hz81`|`ZAYN`|0|`2y5aJvzXhHPA94U5GFAcXe`
`06HL4z0CvFAxyc27GXpf02`|`Taylor Swift`|1|`2y5aJvzXhHPA94U5GFAcXe`
`6MDME20pz9RveH9rEXvrOM`|`Clean Bandit`|0|`5knuzwU65gJK7IF5yJsuaW`
`3Isy6kedDrgPYoTS1dazA9`|`Sean Paul`|1|`5knuzwU65gJK7IF5yJsuaW`
`1zNqDE7qDGCsyzJwohVaoX`|`Anne-Marie`|2|`5knuzwU65gJK7IF5yJsuaW`
