`artistID`|`genre`|`genreNo`
`1Xyo4u8uXC1ZmMpatF05PJ`|`canadian contemporary r&b`|0
`1Xyo4u8uXC1ZmMpatF05PJ`|`canadian pop`|1
`1Xyo4u8uXC1ZmMpatF05PJ`|`pop`|2
`4tZwfgrHOc3mvqYlEYSvVi`|`electro`|0
`4tZwfgrHOc3mvqYlEYSvVi`|`filter house`|1
`69GGBxA162lTqCwzJG5jLp`|`edm`|0
`69GGBxA162lTqCwzJG5jLp`|`electropop`|1
`69GGBxA162lTqCwzJG5jLp`|`pop`|2
`69GGBxA162lTqCwzJG5jLp`|`tropical house`|3
`26VFTg2z8YR0cCuwLzESi2`|`dance pop`|0
`26VFTg2z8YR0cCuwLzESi2`|`electropop`|1
`26VFTg2z8YR0cCuwLzESi2`|`etherpop`|2
`26VFTg2z8YR0cCuwLzESi2`|`indie poptimism`|3
`26VFTg2z8YR0cCuwLzESi2`|`pop`|4
`26VFTg2z8YR0cCuwLzESi2`|`post-teen pop`|5
`4N874uPqBka1QiCvnCVOtr`|`dance pop`|0
`4N874uPqBka1QiCvnCVOtr`|`electropop`|1
`4N874uPqBka1QiCvnCVOtr`|`indie electropop`|2
`4N874uPqBka1QiCvnCVOtr`|`indie poptimism`|3
`4N874uPqBka1QiCvnCVOtr`|`indietronica`|4
`4N874uPqBka1QiCvnCVOtr`|`pop`|5
`0bdfiayQAKewqEvaU6rXCv`|`dance pop`|0
`0bdfiayQAKewqEvaU6rXCv`|`danish pop`|1
`0bdfiayQAKewqEvaU6rXCv`|`electropop`|2
`0bdfiayQAKewqEvaU6rXCv`|`indie pop`|3
`0bdfiayQAKewqEvaU6rXCv`|`pop`|4
`0bdfiayQAKewqEvaU6rXCv`|`tropical house`|5
`0uRdK8gy7fXJGRywrlmPM7`|`cape town indie`|0
`0uRdK8gy7fXJGRywrlmPM7`|`downtempo`|1
`0uRdK8gy7fXJGRywrlmPM7`|`nu jazz`|2
`0uRdK8gy7fXJGRywrlmPM7`|`south african pop`|3
`0uRdK8gy7fXJGRywrlmPM7`|`tropical house`|4
`4mXcRr0lognLc6xSb1vUTX`|`cape town indie`|0
`4mXcRr0lognLc6xSb1vUTX`|`south african alternative`|1
`4mXcRr0lognLc6xSb1vUTX`|`south african rock`|2
`0Cd6nHYwecCNM1sVEXKlYr`|`big room`|0
`0Cd6nHYwecCNM1sVEXKlYr`|`brostep`|1
`0Cd6nHYwecCNM1sVEXKlYr`|`catstep`|2
`0Cd6nHYwecCNM1sVEXKlYr`|`dance pop`|3
`0Cd6nHYwecCNM1sVEXKlYr`|`edm`|4
`0Cd6nHYwecCNM1sVEXKlYr`|`electra`|5
`0Cd6nHYwecCNM1sVEXKlYr`|`electro house`|6
